id_number,first_name,middle_name,last_name,department,email
20010001,Ricardo,Alfonso,Dela Cruz,GCOE-DECE,ricardo.delacruz@dlsu.edu.ph
20010002,Maria,Teresa,Santos,GCOE-DECE,maria.santos@dlsu.edu.ph
20010003,John,Peter,Lim,GCOE-DECE,john.lim@dlsu.edu.ph
20010004,Emmanuel,Jose,Reyes,GCOE-DECE,emmanuel.reyes@dlsu.edu.ph
20010005,Catherine,Anne,Garcia,GCOE-DECE,catherine.garcia@dlsu.edu.ph
20010006,Francis,Benedict,Tan,GCOE-DECE,francis.tan@dlsu.edu.ph
20010007,Jennifer,Louise,Mendoza,GCOE-DECE,jennifer.mendoza@dlsu.edu.ph
20010008,Paolo,Gabriel,Torres,GCOE-DECE,paolo.torres@dlsu.edu.ph
20010009,Sarah,Elizabeth,Yap,GCOE-DECE,sarah.yap@dlsu.edu.ph
20010010,Vincent,Ray,Bautista,GCOE-DECE,vincent.bautista@dlsu.edu.ph
