id_number,first_name,middle_name,last_name,college,department,program,specialization,phone_number,email,parent_guardian_name,parent_guardian_number
12100001,Miguel,Jose,Santos,Gokongwei College of Engineering,GCOE-DECE,BS Computer Engineering,N/A,+63 917 111 2233,miguel_santos@dlsu.edu.ph,Maria Santos,+63 918 111 2233
12100002,Angela,Marie,Reyes,Gokongwei College of Engineering,GCOE-DECE,BS Electronics Engineering,N/A,+63 917 222 3344,angela_reyes@dlsu.edu.ph,Roberto Reyes,+63 918 222 3344
12100003,Carlos,Antonio,Cruz,Gokongwei College of Engineering,GCOE-DECE,BS Electrical Engineering,N/A,+63 917 333 4455,carlos_cruz@dlsu.edu.ph,Elena Cruz,+63 918 333 4455
12100004,Sofia,Grace,Dizon,Gokongwei College of Engineering,GCOE-DECE,BS Computer Engineering,N/A,+63 917 444 5566,sofia_dizon@dlsu.edu.ph,Ricardo Dizon,+63 918 444 5566
12100005,Gabriel,Luis,Mendoza,Gokongwei College of Engineering,GCOE-DECE,BS Electronics Engineering,N/A,+63 917 555 6677,gabriel_mendoza@dlsu.edu.ph,Patricia Mendoza,+63 918 555 6677
12100006,Hannah,Rose,Garcia,Gokongwei College of Engineering,GCOE-DECE,BS Electrical Engineering,N/A,+63 917 666 7788,hannah_garcia@dlsu.edu.ph,Fernando Garcia,+63 918 666 7788
12100007,Rafael,Paolo,Bautista,Gokongwei College of Engineering,GCOE-DECE,BS Computer Engineering,N/A,+63 917 777 8899,rafael_bautista@dlsu.edu.ph,Theresa Bautista,+63 918 777 8899
12100008,Julia,Nicole,Torres,Gokongwei College of Engineering,GCOE-DECE,BS Electronics Engineering,N/A,+63 917 888 9900,julia_torres@dlsu.edu.ph,Manuel Torres,+63 918 888 9900
12100009,Ethan,James,Lopez,Gokongwei College of Engineering,GCOE-DECE,BS Electrical Engineering,N/A,+63 917 999 0011,ethan_lopez@dlsu.edu.ph,Carmen Lopez,+63 918 999 0011
12100010,Isabella,Mae,Gonzales,Gokongwei College of Engineering,GCOE-DECE,BS Computer Engineering,N/A,+63 917 000 1122,isabella_gonzales@dlsu.edu.ph,Jose Gonzales,+63 918 000 1122
12100011,Liam,Alexander,Ramos,Gokongwei College of Engineering,GCOE-DECE,BS Electronics Engineering,N/A,+63 917 123 4567,liam_ramos@dlsu.edu.ph,Susan Ramos,+63 918 123 4567
12100012,Ava,Victoria,Flores,Gokongwei College of Engineering,GCOE-DECE,BS Electrical Engineering,N/A,+63 917 234 5678,ava_flores@dlsu.edu.ph,Ramon Flores,+63 918 234 5678
12100013,Noah,Elijah,Castillo,Gokongwei College of Engineering,GCOE-DECE,BS Computer Engineering,N/A,+63 917 345 6789,noah_castillo@dlsu.edu.ph,Lydia Castillo,+63 918 345 6789
12100014,Mia,Elizabeth,Villanueva,Gokongwei College of Engineering,GCOE-DECE,BS Electronics Engineering,N/A,+63 917 456 7890,mia_villanueva@dlsu.edu.ph,Antonio Villanueva,+63 918 456 7890
12100015,Lucas,Daniel,Rivera,Gokongwei College of Engineering,GCOE-DECE,BS Electrical Engineering,N/A,+63 917 567 8901,lucas_rivera@dlsu.edu.ph,Cecilia Rivera,+63 918 567 8901
12100016,Chloe,Sophia,Aquino,Gokongwei College of Engineering,GCOE-DECE,BS Computer Engineering,N/A,+63 917 678 9012,chloe_aquino@dlsu.edu.ph,Eduardo Aquino,+63 918 678 9012
